pl_name,discoverymethod,pl_controv_flag,pl_orbsmax,pl_msinie,pl_dens,pl_orbeccen,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
Kepler-1387 b,Transit,0,0.031000,,,0.000000,5017.00,0.80,0.76,-0.020,,4.52,,3.3433
Kepler-1387 b,Transit,0,,,,,5046.00,0.77,0.82,0.020,,4.58,4.370,
Kepler-1387 b,Transit,0,0.031000,,,0.000000,5017.00,0.80,0.76,-0.020,,4.52,,3.3433
Kepler-1387 b,Transit,0,0.031000,,,0.000000,5017.00,0.80,0.76,-0.020,,4.52,,3.3433
Kepler-1387 b,Transit,0,,,,,4982.83,0.70,0.82,0.129,-0.560,4.66,,3.3155
Kepler-1388 b,Transit,0,0.084000,,,0.000000,3990.00,0.60,0.52,,,4.59,,
Kepler-1388 b,Transit,0,0.085000,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,4.1492
Kepler-1388 b,Transit,0,0.088200,,,0.000000,3891.00,0.56,0.60,0.210,,4.72,,3.7896
Kepler-1388 b,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 b,Transit,0,0.085000,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,4.1492
Kepler-1388 b,Transit,0,,,,,5052.00,0.48,,,,,,
Kepler-1388 b,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 b,Transit,0,0.085000,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,4.1492
Kepler-1388 b,Transit,0,,,,,4098.00,0.61,0.63,0.020,,4.67,4.470,
Kepler-1388 b,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 c,Transit,0,0.050000,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,4.7900
Kepler-1388 c,Transit,0,0.050000,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,4.7900
Kepler-1388 c,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 c,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 c,Transit,0,0.051900,,,0.000000,3891.00,0.56,0.60,0.210,,4.72,,1.1675
Kepler-1388 c,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 c,Transit,0,0.050000,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,4.7900
Kepler-1388 c,Transit,0,,,,,5052.00,0.48,,,,,,
Kepler-1388 c,Transit,0,,,,,4098.00,0.61,0.63,0.020,,4.67,4.470,
Kepler-1388 c,Transit,0,0.049000,,,0.000000,3990.00,0.60,0.52,,,4.59,,
Kepler-1388 d,Transit,0,0.121400,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,3.8528
Kepler-1388 d,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 d,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 d,Transit,0,0.121400,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,3.8528
Kepler-1388 d,Transit,0,,,,,5052.00,0.48,,,,,,
Kepler-1388 d,Transit,0,0.126000,,,0.000000,3891.00,0.56,0.60,0.210,,4.72,,4.5664
Kepler-1388 d,Transit,0,,,,,4098.00,0.61,0.63,0.020,,4.67,4.470,
Kepler-1388 e,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 e,Transit,0,,,,,3938.00,0.60,0.59,,-1.107,4.65,,3.8280
Kepler-1388 e,Transit,0,0.179300,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,3.3122
Kepler-1388 e,Transit,0,0.186100,,,0.000000,3891.00,0.56,0.60,0.210,,4.72,,3.3011
Kepler-1388 e,Transit,0,,,,,5052.00,0.48,,,,,,
Kepler-1388 e,Transit,0,,,,,4098.00,0.61,0.63,0.020,,4.67,4.470,
Kepler-1388 e,Transit,0,0.179300,,,0.000000,3903.00,0.52,0.54,-0.200,,4.74,,3.3122
Kepler-1389 b,Transit,0,,,,,5078.00,0.74,0.81,-0.140,,4.61,2.090,
Kepler-1389 b,Transit,0,,,,,4905.00,0.75,0.80,-0.130,-0.534,4.59,,2.6882
Kepler-1389 b,Transit,0,,,,,4905.00,0.75,0.80,-0.130,-0.534,4.59,,2.6882
Kepler-1389 b,Transit,0,0.387000,,,0.000000,5083.00,0.70,0.78,,,4.64,2.800,
Kepler-1389 b,Transit,0,,,,,4962.00,0.72,,,,,,
Kepler-1389 b,Transit,0,,,,,4905.00,0.75,0.80,-0.130,-0.534,4.59,,2.6882
Kepler-1389 b,Transit,0,0.382500,,,0.000000,5129.00,0.75,0.76,-0.200,,4.56,,2.6103
Kepler-1389 b,Transit,0,0.382500,,,0.000000,5129.00,0.75,0.76,-0.200,,4.56,,2.6103
Kepler-1389 b,Transit,0,0.382500,,,0.000000,5129.00,0.75,0.76,-0.200,,4.56,,2.6103
Kepler-1389 b,Transit,0,0.386900,,,0.000000,5010.00,0.71,0.80,-0.160,,4.62,,0.1428
Kepler-139 b,Transit,0,,,,,5550.00,1.10,0.98,0.270,0.016,4.35,,1.0333
Kepler-139 b,Transit,0,0.126000,,,0.000000,5622.00,1.18,1.08,,,4.33,5.100,
Kepler-139 b,Transit,0,0.124900,,,0.000000,5616.00,1.20,1.04,0.400,,4.30,,1.0971
Kepler-139 b,Transit,0,,,,,5630.00,1.05,,,,,,
Kepler-139 b,Transit,0,,,,,5680.00,1.12,1.05,0.280,,4.35,5.620,
Kepler-139 b,Transit,0,0.124200,,,0.000000,5620.00,1.14,1.02,0.340,,4.33,,1.0954
Kepler-139 b,Transit,0,0.127000,,,,5594.00,1.30,,,,4.25,,
Kepler-139 b,Transit,0,0.124900,,,0.000000,5616.00,1.20,1.04,0.400,,4.30,,1.0971
Kepler-139 b,Transit,0,,,,,5550.00,1.10,0.98,0.270,0.016,4.35,,1.0333
Kepler-139 b,Transit,0,0.124900,,,0.000000,5616.00,1.20,1.04,0.400,,4.30,,1.0971
Kepler-139 b,Transit,0,,,,,5550.00,1.10,0.98,0.270,0.016,4.35,,1.0333
Kepler-139 c,Transit,0,,,,,5550.00,1.10,0.98,0.270,0.016,4.35,,1.0333
Kepler-139 c,Transit,0,0.578100,,,0.000000,5616.00,1.20,1.04,0.400,,4.30,,2.6751
Kepler-139 c,Transit,0,0.586000,,,,5594.00,1.30,,,,4.25,,
Kepler-139 c,Transit,0,,,,,5680.00,1.12,1.05,0.280,,4.35,5.620,
Kepler-139 c,Transit,0,0.578100,,,0.000000,5616.00,1.20,1.04,0.400,,4.30,,2.6751
Kepler-139 c,Transit,0,0.578100,,,0.000000,5616.00,1.20,1.04,0.400,,4.30,,2.6751
Kepler-139 c,Transit,0,,,,,5630.00,1.05,,,,,,
Kepler-139 c,Transit,0,0.586000,,,0.000000,5622.00,1.18,1.08,,,4.33,5.100,
Kepler-139 c,Transit,0,0.574900,,,0.000000,5620.00,1.14,1.02,0.340,,4.33,,2.6256
Kepler-139 c,Transit,0,,,,,5550.00,1.10,0.98,0.270,0.016,4.35,,1.0333
Kepler-139 c,Transit,0,,,,,5550.00,1.10,0.98,0.270,0.016,4.35,,1.0333
Kepler-1390 b,Transit,0,,,,,5388.77,1.02,0.94,-0.116,-0.100,4.39,,1.2405
Kepler-1390 b,Transit,0,0.066200,,,0.000000,5496.00,0.98,0.92,0.140,,4.42,,0.5535
Kepler-1390 b,Transit,0,0.064700,,,0.000000,5662.00,0.79,0.86,-0.340,,4.58,,1.5826
Kepler-1390 b,Transit,0,,,,,5388.77,1.02,0.94,-0.116,-0.100,4.39,,1.2405
Kepler-1390 b,Transit,0,0.064700,,,0.000000,5662.00,0.79,0.86,-0.340,,4.58,,1.5826
Kepler-1390 b,Transit,0,,,,,5753.00,0.98,0.98,-0.010,,4.45,4.470,
Kepler-1390 b,Transit,0,,,,,5500.00,0.95,,,,,,
Kepler-1390 b,Transit,0,0.064700,,,0.000000,5662.00,0.79,0.86,-0.340,,4.58,,1.5826
Kepler-1390 b,Transit,0,0.067000,,,0.000000,5697.00,0.84,0.95,,,4.56,0.600,
Kepler-1391 b,Transit,0,,,,,5579.13,1.78,0.98,0.258,0.439,3.93,,0.2470
Kepler-1391 b,Transit,0,,,,,5579.13,1.78,0.98,0.258,0.439,3.93,,0.2470
Kepler-1391 b,Transit,0,0.279600,,,0.000000,5883.00,0.89,0.98,-0.140,,4.53,,0.4925
Kepler-1391 b,Transit,0,0.279600,,,0.000000,5883.00,0.89,0.98,-0.140,,4.53,,0.4925
Kepler-1391 b,Transit,0,0.279600,,,0.000000,5883.00,0.89,0.98,-0.140,,4.53,,0.4925
Kepler-1391 b,Transit,0,0.276800,,,0.000000,5746.00,1.13,0.95,0.000,,4.31,,0.5687
Kepler-1391 b,Transit,0,,,,,5781.00,1.60,,,,,,
Kepler-1391 b,Transit,0,0.281000,,,0.000000,5885.00,0.90,1.00,,,4.53,0.400,
Kepler-1391 b,Transit,0,,,,,5579.13,1.78,0.98,0.258,0.439,3.93,,0.2470
Kepler-1391 b,Transit,0,,,,,5840.00,1.10,1.03,0.040,,4.36,5.500,
Kepler-1392 b,Transit,0,,,,,,,,,,,,
Kepler-1392 b,Transit,0,,,,,,,,,,,,
Kepler-1392 b,Transit,0,0.118900,,,0.000000,5926.00,0.89,0.98,-0.200,,4.53,,1.5942
Kepler-1392 b,Transit,0,0.118900,,,0.000000,5926.00,0.89,0.98,-0.200,,4.53,,1.7150
Kepler-1392 b,Transit,0,,,,,,,,,,,,
Kepler-1392 b,Transit,0,,,,,5479.00,0.85,0.88,-0.110,,4.53,4.680,
Kepler-1392 b,Transit,0,0.118900,,,0.000000,5926.00,0.89,0.98,-0.200,,4.53,,1.7150
Kepler-1392 b,Transit,0,0.118900,,,0.000000,5926.00,0.89,0.98,-0.200,,4.53,,1.7150
Kepler-1392 b,Transit,0,0.121000,,,0.000000,5665.00,0.85,1.04,,,4.59,,
Kepler-1393 b,Transit,0,,,,,,,,,,,,
Kepler-1393 b,Transit,0,,,,,5697.00,0.92,0.95,-0.090,,4.50,3.470,
Kepler-1393 b,Transit,0,0.034400,,,0.000000,5771.00,0.82,0.91,-0.280,,4.56,,2.0033
Kepler-1393 b,Transit,0,0.033700,,,0.000000,5561.00,0.87,0.85,-0.180,,4.49,,3.0114
Kepler-1393 b,Transit,0,0.034400,,,0.000000,5771.00,0.82,0.91,-0.280,,4.56,,2.0033
Kepler-1393 b,Transit,0,0.034400,,,0.000000,5771.00,0.82,0.91,-0.280,,4.56,,2.0033
Kepler-1393 b,Transit,0,0.035000,,,0.000000,5793.00,0.87,0.98,,,4.55,0.300,
Kepler-1393 b,Transit,0,,,,,,,,,,,,
Kepler-1394 b,Transit,0,0.053600,,,0.000000,6712.00,1.52,1.33,-0.060,,4.19,,0.2832
Kepler-1394 b,Transit,0,,,,,6481.00,2.55,1.64,0.060,,3.84,1.910,
Kepler-1394 b,Transit,0,0.053600,,,0.000000,6712.00,1.52,1.33,-0.060,,4.19,,0.2832
Kepler-1394 b,Transit,0,0.053600,,,0.000000,6712.00,1.52,1.33,-0.060,,4.19,,0.2832
Kepler-1394 b,Transit,0,,,,,6565.00,1.97,1.36,0.067,0.811,3.98,,0.2521
Kepler-1394 b,Transit,0,,,,,6565.00,1.97,1.36,0.067,0.811,3.98,,0.2521
Kepler-1394 b,Transit,0,,,,,6422.00,2.02,,,,,,
Kepler-1394 b,Transit,0,0.055500,,,0.000000,6277.00,2.74,1.47,-0.060,,3.73,,0.3132
Kepler-1394 b,Transit,0,0.054000,,,0.000000,6717.00,1.55,1.32,,,4.18,2.130,
Kepler-1395 b,Transit,0,,,,,6138.00,1.23,1.17,0.120,,4.33,2.880,
Kepler-1395 b,Transit,0,0.051900,,,0.000000,6461.00,1.95,1.30,-0.140,,3.97,,1.0876
Kepler-1395 b,Transit,0,0.049400,,,0.000000,6017.00,1.21,1.13,0.140,,4.33,,1.3029
Kepler-1395 b,Transit,0,0.051900,,,0.000000,6461.00,1.95,1.30,-0.140,,3.97,,1.0876
Kepler-1395 b,Transit,0,0.051900,,,0.000000,6461.00,1.95,1.30,-0.140,,3.97,,1.0876
Kepler-1395 b,Transit,0,0.053000,,,0.000000,6458.00,1.99,1.40,,,3.99,2.600,
Kepler-1395 b,Transit,0,,,,,6071.93,1.24,1.13,0.123,0.277,4.30,,0.8296
Kepler-1395 b,Transit,0,,,,,6069.00,1.21,,,,,,
Kepler-1395 b,Transit,0,,,,,6071.93,1.24,1.13,0.123,0.277,4.30,,0.8296
Kepler-1396 b,Transit,0,,,,,5874.91,1.22,1.06,-0.014,0.204,4.29,,0.8220
Kepler-1396 b,Transit,0,0.139700,,,0.000000,6241.00,1.03,1.09,-0.140,,4.45,,0.2177
Kepler-1396 b,Transit,0,0.140600,,,0.000000,5951.00,1.26,1.12,0.140,,4.28,,1.1709
Kepler-1396 b,Transit,0,0.140000,,,0.000000,6238.00,1.03,1.11,,,4.46,0.260,
Kepler-1396 b,Transit,0,,,,,5947.00,1.12,,,,,,
Kepler-1396 b,Transit,0,,,,,6195.00,1.27,1.18,0.040,,4.30,2.750,
Kepler-1396 b,Transit,0,0.139700,,,0.000000,6241.00,1.03,1.09,-0.140,,4.45,,0.2177
Kepler-1396 b,Transit,0,,,,,5874.91,1.22,1.06,-0.014,0.204,4.29,,0.8220
Kepler-1396 b,Transit,0,,,,,5874.91,1.22,1.06,-0.014,0.204,4.29,,0.8220
Kepler-1396 b,Transit,0,0.139700,,,0.000000,6241.00,1.03,1.09,-0.140,,4.45,,0.2177
Kepler-1397 b,Transit,0,0.245100,,,0.000000,5869.00,0.91,0.87,-0.380,,4.46,,0.3359
Kepler-1397 b,Transit,0,0.260200,,,0.000000,6007.00,1.13,1.04,0.000,,4.35,,0.3421
Kepler-1397 b,Transit,0,,,,,6026.00,1.12,1.09,0.000,,4.37,3.550,
Kepler-1397 b,Transit,0,,,,,6206.00,1.71,1.19,,0.591,4.05,,0.3361
Kepler-1397 b,Transit,0,0.245100,,,0.000000,5869.00,0.91,0.87,-0.380,,4.46,,0.3359
Kepler-1397 b,Transit,0,0.255000,,,0.000000,5905.00,0.97,0.98,,,4.45,4.000,
Kepler-1397 b,Transit,0,0.245100,,,0.000000,5869.00,0.91,0.87,-0.380,,4.46,,0.3359
Kepler-1397 b,Transit,0,,,,,6206.00,1.71,1.19,,0.591,4.05,,0.3361
Kepler-1397 b,Transit,0,,,,,6123.00,1.77,,,,,,
Kepler-1397 b,Transit,0,,,,,6206.00,1.71,1.19,,0.591,4.05,,0.3361
Kepler-1398 b,Transit,0,0.039200,,,0.000000,5758.00,1.39,1.03,0.120,,4.17,,0.6169
Kepler-1398 b,Transit,0,0.039000,,,0.000000,6245.00,0.98,1.01,-0.300,,4.46,,0.4370
Kepler-1398 b,Transit,0,0.039000,,,0.000000,6245.00,0.98,1.01,-0.300,,4.46,,0.4370
Kepler-1398 b,Transit,0,,,,,5998.20,1.33,1.11,-0.073,0.312,4.24,,0.6706
Kepler-1398 b,Transit,0,0.040000,,,0.000000,6263.00,1.05,1.12,,,4.44,0.630,
Kepler-1398 b,Transit,0,,,,,5969.00,1.30,,,,,,
Kepler-1398 b,Transit,0,0.039000,,,0.000000,6245.00,0.98,1.01,-0.300,,4.46,,0.4370
Kepler-1398 b,Transit,0,,,,,5998.20,1.33,1.11,-0.073,0.312,4.24,,0.6706
Kepler-1398 b,Transit,0,,,,,6126.00,1.18,1.13,0.010,,4.34,3.090,
Kepler-1398 c,Transit,0,,,,,5998.20,1.33,1.11,-0.073,0.312,4.24,,0.6706
Kepler-1398 c,Transit,0,0.050800,,,0.000000,6245.00,0.98,1.01,-0.300,,4.46,,0.2471
Kepler-1398 c,Transit,0,0.051000,,,0.000000,5758.00,1.39,1.03,0.120,,4.17,,0.5770
Kepler-1398 c,Transit,0,0.052000,,,0.000000,6263.00,1.05,1.12,,,4.44,0.630,
Kepler-1398 c,Transit,0,,,,,6126.00,1.18,1.13,0.010,,4.34,3.090,
Kepler-1398 c,Transit,0,,,,,5969.00,1.30,,,,,,
Kepler-1398 c,Transit,0,0.050800,,,0.000000,6245.00,0.98,1.01,-0.300,,4.46,,0.2471
Kepler-1398 c,Transit,0,,,,,5998.20,1.33,1.11,-0.073,0.312,4.24,,0.6706
Kepler-1398 c,Transit,0,0.050800,,,0.000000,6245.00,0.98,1.01,-0.300,,4.46,,0.2471
Kepler-1399 b,Transit,0,0.028000,,,0.000000,5863.00,0.97,1.08,,,4.50,,
Kepler-1399 b,Transit,0,0.027600,,,0.000000,6119.00,0.98,1.04,-0.160,,4.47,,1.9352
Kepler-1399 b,Transit,0,,,,,5547.00,1.09,0.98,,0.010,4.35,,1.0529
Kepler-1399 b,Transit,0,0.027600,,,0.000000,6119.00,0.98,1.04,-0.160,,4.47,,1.5901
Kepler-1399 b,Transit,0,0.027600,,,0.000000,6119.00,0.98,1.04,-0.160,,4.47,,1.9352
Kepler-1399 b,Transit,0,,,,,5547.00,1.09,0.98,,0.010,4.35,,1.0529
Kepler-1399 b,Transit,0,0.027600,,,0.000000,6119.00,0.98,1.04,-0.160,,4.47,,1.9352
Kepler-1399 b,Transit,0,,,,,5735.00,0.96,0.97,-0.030,,4.47,4.370,
Kepler-1399 b,Transit,0,,,,,6123.00,1.01,,,,,,
Kepler-14 b,Transit,0,,,,,6471.00,2.16,1.52,0.060,,3.95,2.240,
Kepler-14 b,Transit,0,0.078700,,,0.000000,6378.00,2.08,1.39,-0.020,,3.95,,0.2916
Kepler-14 b,Transit,0,0.078000,,,0.000000,6395.00,1.63,1.37,,,4.15,2.270,
Kepler-14 b,Transit,0,,,7.10000,0.035000,6395.00,2.05,1.51,0.120,0.799,3.99,2.200,
Kepler-14 b,Transit,0,0.078700,,,0.000000,6378.00,2.08,1.39,-0.020,,3.95,,0.2916
Kepler-14 b,Transit,0,,,,,6378.00,2.00,,0.070,,,,
Kepler-14 b,Transit,0,,,,,6378.00,2.00,,0.070,,,,
Kepler-14 b,Transit,0,0.078700,,,0.000000,6378.00,2.08,1.39,-0.020,,3.95,,0.2916
Kepler-14 b,Transit,0,0.076900,,,0.000000,6372.00,2.00,1.31,0.040,,3.95,,0.2079
Kepler-14 b,Transit,0,,,,,6378.00,2.00,,0.070,,,,
Kepler-14 b,Transit,0,0.077100,,6.70000,,6395.00,2.09,1.32,0.120,,3.92,2.200,0.2040
Kepler-140 b,Transit,0,,,,,6108.41,1.19,1.15,-0.039,0.251,4.35,,0.9584
Kepler-140 b,Transit,0,0.045000,,,0.000000,6167.00,1.06,1.15,0.070,,4.44,,1.0616
Kepler-140 b,Transit,0,,,,,6024.00,1.19,,,,,,
Kepler-140 b,Transit,0,,,,,6108.41,1.19,1.15,-0.039,0.251,4.35,,0.9584
Kepler-140 b,Transit,0,,,,,6108.41,1.19,1.15,-0.039,0.251,4.35,,0.9584
Kepler-140 b,Transit,0,0.045000,,,,6077.00,1.29,,,,4.27,,
Kepler-140 b,Transit,0,,,,,6109.00,1.15,1.15,0.120,,4.38,1.950,
Kepler-140 b,Transit,0,0.044300,,,0.000000,5945.00,1.09,1.09,0.160,,4.40,,0.9318
Kepler-140 b,Transit,0,0.045000,,,0.000000,6167.00,1.06,1.15,0.070,,4.44,,1.0616
Kepler-140 b,Transit,0,0.045000,,,0.000000,6167.00,1.06,1.15,0.070,,4.44,,1.0616
Kepler-140 b,Transit,0,0.046000,,,0.000000,6206.00,1.17,1.21,,,4.39,0.880,
Kepler-140 c,Transit,0,0.415900,,,0.000000,6167.00,1.06,1.15,0.070,,4.44,,1.2926
Kepler-140 c,Transit,0,0.415900,,,0.000000,6167.00,1.06,1.15,0.070,,4.44,,1.2926
Kepler-140 c,Transit,0,0.415900,,,0.000000,6167.00,1.06,1.15,0.070,,4.44,,1.2926
Kepler-140 c,Transit,0,,,,,6108.41,1.19,1.15,-0.039,0.251,4.35,,0.9584
Kepler-140 c,Transit,0,,,,,6024.00,1.19,,,,,,
Kepler-140 c,Transit,0,,,,,6108.41,1.19,1.15,-0.039,0.251,4.35,,0.9584
Kepler-140 c,Transit,0,,,,,6108.41,1.19,1.15,-0.039,0.251,4.35,,0.9584
Kepler-140 c,Transit,0,0.414000,,,,6077.00,1.29,,,,4.27,,
Kepler-140 c,Transit,0,,,,,6109.00,1.15,1.15,0.120,,4.38,1.950,
Kepler-140 c,Transit,0,0.409000,,,0.000000,5945.00,1.09,1.09,0.160,,4.40,,1.2139
Kepler-140 c,Transit,0,0.423000,,,0.000000,6206.00,1.17,1.21,,,4.39,0.880,
Kepler-1400 b,Transit,0,0.077100,,,0.000000,5142.00,0.79,0.74,-0.180,,4.51,,0.1578
Kepler-1400 b,Transit,0,0.077100,,,0.000000,5142.00,0.79,0.74,-0.180,,4.51,,2.6487
Kepler-1400 b,Transit,0,,,,,4912.00,0.71,0.80,,-0.578,4.64,,3.1498
Kepler-1400 b,Transit,0,,,,,5044.00,0.78,0.83,0.040,,4.58,4.570,
Kepler-1400 b,Transit,0,0.077100,,,0.000000,5142.00,0.79,0.74,-0.180,,4.51,,2.6487
Kepler-1400 b,Transit,0,0.077100,,,0.000000,5142.00,0.79,0.74,-0.180,,4.51,,2.6487
Kepler-1400 b,Transit,0,0.083000,,,0.000000,4946.00,0.93,0.93,,,4.47,,
Kepler-1400 b,Transit,0,,,,,4912.00,0.71,0.80,,-0.578,4.64,,3.1498
Kepler-1400 b,Transit,0,,,,,5135.00,0.65,,,,,,
Kepler-1401 b,Transit,0,0.097500,,,0.000000,6038.00,0.90,0.98,-0.280,,4.52,,1.7911
Kepler-1401 b,Transit,0,0.097500,,,0.000000,6038.00,0.90,0.98,-0.280,,4.52,,0.0438
Kepler-1401 b,Transit,0,0.100000,,,0.000000,6057.00,0.95,1.05,,,4.50,0.300,
Kepler-1401 b,Transit,0,0.097500,,,0.000000,6038.00,0.90,0.98,-0.280,,4.52,,1.7911
Kepler-1401 b,Transit,0,,,,,,,,,,,,
Kepler-1401 b,Transit,0,0.097500,,,0.000000,6038.00,0.90,0.98,-0.280,,4.52,,1.7911
Kepler-1401 b,Transit,0,,,,,5964.00,1.10,1.07,0.040,,4.39,3.550,
Kepler-1402 b,Transit,0,0.030100,,,0.000000,5437.00,0.80,0.88,-0.100,,4.57,,0.3871
Kepler-1402 b,Transit,0,0.030000,,,0.000000,5409.00,0.77,0.87,,,4.60,0.800,
Kepler-1402 b,Transit,0,,,,,5281.00,2.00,0.91,,0.448,3.79,,0.1603
Kepler-1402 b,Transit,0,,,,,5281.00,2.00,0.91,,0.448,3.79,,0.1603
Kepler-1402 b,Transit,0,,,,,5275.00,1.93,,,,,,
Kepler-1402 b,Transit,0,0.030100,,,0.000000,5437.00,0.80,0.88,-0.100,,4.57,,0.3871
Kepler-1402 b,Transit,0,0.030100,,,0.000000,5437.00,0.80,0.88,-0.100,,4.57,,0.3871
Kepler-1402 b,Transit,0,,,,,5416.00,0.87,0.90,0.030,,4.53,4.570,
Kepler-1402 b,Transit,0,0.032200,,,0.000000,5282.00,1.90,1.07,0.160,,3.91,,0.5551
Kepler-1403 b,Transit,0,,,,,6449.00,1.36,,,,,,
Kepler-1403 b,Transit,0,,,,,6019.00,1.41,1.11,,0.372,4.18,,0.5566
Kepler-1403 b,Transit,0,0.061000,,,0.000000,6337.00,1.07,1.15,,,4.44,0.300,
Kepler-1403 b,Transit,0,0.064200,,,0.000000,6449.00,1.24,1.31,0.210,,4.37,,1.4275
Kepler-1403 b,Transit,0,,,,,6060.00,1.15,1.11,0.030,,4.36,3.310,
Kepler-1403 b,Transit,0,0.064200,,,0.000000,6449.00,1.24,1.31,0.210,,4.37,,1.4275
Kepler-1403 b,Transit,0,0.064000,,,0.000000,6415.00,1.22,1.29,0.210,,4.37,,1.4303
Kepler-1403 b,Transit,0,0.064200,,,0.000000,6449.00,1.24,1.31,0.210,,4.37,,1.4275
Kepler-1403 b,Transit,0,,,,,6019.00,1.41,1.11,,0.372,4.18,,0.5566
Kepler-1404 b,Transit,0,,,,,5261.00,0.80,0.84,-0.090,,4.56,4.570,
Kepler-1404 b,Transit,0,,,,,5125.00,0.83,0.86,,-0.370,4.54,,2.1360
Kepler-1404 b,Transit,0,0.114300,,,0.000000,5380.00,0.72,0.79,-0.400,,4.62,,5.2268
Kepler-1404 b,Transit,0,,,,,5384.00,0.82,,,,,,
Kepler-1404 b,Transit,0,,,,,5125.00,0.83,0.86,,-0.370,4.54,,2.1360
Kepler-1404 b,Transit,0,,,,,5125.00,0.83,0.86,,-0.370,4.54,,2.1360
Kepler-1404 b,Transit,0,0.114000,,,0.000000,5385.00,0.74,0.78,-0.380,,4.59,,3.9511
Kepler-1404 b,Transit,0,0.119000,,,0.000000,5426.00,0.78,0.88,,,4.60,0.700,
Kepler-1404 b,Transit,0,0.114000,,,0.000000,5385.00,0.74,0.78,-0.380,,4.59,,3.9511
Kepler-1404 b,Transit,0,0.114000,,,0.000000,5385.00,0.74,0.78,-0.380,,4.59,,3.9511
Kepler-1405 b,Transit,0,,,,,5653.00,1.07,1.00,,0.022,4.38,,1.1516
Kepler-1405 b,Transit,0,,,,,5653.00,1.07,1.00,,0.022,4.38,,1.1516
Kepler-1405 b,Transit,0,0.177200,,,0.000000,5864.00,0.84,0.93,-0.280,,4.56,,1.3615
Kepler-1405 b,Transit,0,,,,,5653.00,1.07,1.00,,0.022,4.38,,1.1516
Kepler-1405 b,Transit,0,0.177200,,,0.000000,5864.00,0.84,0.93,-0.280,,4.56,,1.3615
Kepler-1405 b,Transit,0,0.181000,,,0.000000,5875.00,0.89,1.00,,,4.54,0.500,
Kepler-1405 b,Transit,0,,,,,5862.00,1.00,,,,,,
Kepler-1405 b,Transit,0,0.177200,,,0.000000,5864.00,0.84,0.93,-0.280,,4.56,,1.3615
Kepler-1405 b,Transit,0,,,,,5925.00,1.07,1.05,0.030,,4.40,3.630,
Kepler-1405 b,Transit,0,0.177800,,,0.000000,5858.00,0.85,0.94,-0.260,,4.55,,1.3467
Kepler-1406 b,Transit,0,0.099400,,,0.000000,6060.00,1.09,0.96,-0.260,,4.34,,3.5238
Kepler-1406 b,Transit,0,,,,,,,,,,,,
Kepler-1406 b,Transit,0,,,,,,,,,,,,
Kepler-1406 b,Transit,0,0.098700,,,0.000000,5721.00,1.13,0.94,0.000,,4.31,,0.2565
Kepler-1406 b,Transit,0,,,,,5892.00,1.12,1.05,0.040,,4.36,5.010,
Kepler-1406 b,Transit,0,0.099400,,,0.000000,6060.00,1.09,0.96,-0.260,,4.34,,3.5238
Kepler-1406 b,Transit,0,0.102000,,,0.000000,6071.00,1.12,1.03,,,4.35,4.800,
Kepler-1406 b,Transit,0,0.099400,,,0.000000,6060.00,1.09,0.96,-0.260,,4.34,,3.5238
Kepler-1407 b,Transit,0,,,,,5896.00,1.28,,,,,,
Kepler-1407 b,Transit,0,,,,,5800.00,1.35,1.04,,0.271,4.19,,0.5913
Kepler-1407 b,Transit,0,0.149000,,,0.000000,5817.00,1.11,1.09,,,4.38,,
Kepler-1407 b,Transit,0,0.149400,,,0.000000,6086.00,1.12,1.10,0.060,,4.38,,0.7190
Kepler-1407 b,Transit,0,,,,,5800.00,1.35,1.04,,0.271,4.19,,0.5913
Kepler-1407 b,Transit,0,,,,,6010.00,1.15,1.10,0.050,,4.36,3.240,
Kepler-1407 b,Transit,0,0.150200,,,0.000000,5902.00,1.51,1.12,0.160,,4.13,,0.3278
Kepler-1407 b,Transit,0,,,,,5800.00,1.35,1.04,,0.271,4.19,,0.5913
Kepler-1407 b,Transit,0,0.149400,,,0.000000,6086.00,1.12,1.10,0.060,,4.38,,0.7190
