pl_name,discoverymethod,pl_controv_flag,pl_orbsmax,pl_msinie,pl_dens,pl_orbeccen,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
51 Eri b,Imaging,0,14.000000,,,0.210000,7295.00,1.49,1.65,,0.752,4.31,,0.7071
51 Peg b,Radial Velocity,0,0.052000,143.02350,,0.000000,,,1.04,,,,,
51 Peg b,Radial Velocity,0,0.052700,150.00900,,0.013000,5758.00,1.18,1.03,0.180,0.136,4.31,,0.8937
51 Peg b,Radial Velocity,0,0.052350,147.47238,,0.004200,5760.76,1.19,1.07,0.206,,4.32,,
51 Peg b,Radial Velocity,0,0.052000,148.73800,,0.000000,,,,,,,,
51 Peg b,Radial Velocity,0,,149.38010,,0.000000,5773.00,1.29,,0.200,,4.32,10.000,
55 Cnc b,Radial Velocity,0,0.115227,,,0.003400,,,0.95,,,,,
55 Cnc b,Radial Velocity,0,0.116200,267.29369,,0.004800,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc b,Radial Velocity,0,0.115000,289.21000,,0.030000,,,,,,,,
55 Cnc b,Radial Velocity,0,0.110000,266.97720,,0.051000,5200.00,,0.85,0.230,,4.50,5.000,
55 Cnc b,Radial Velocity,0,0.113400,254.25000,,0.004000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,Radial Velocity,0,0.115000,266.97720,,0.020000,,,0.95,0.270,,,5.500,
55 Cnc b,Radial Velocity,0,0.115000,249.17872,,0.019700,,,0.95,,,,,
55 Cnc b,Radial Velocity,0,0.115000,261.88100,,0.014000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,Radial Velocity,0,0.113000,,,0.000000,,,,,,,,
55 Cnc b,Radial Velocity,0,0.113800,260.61000,,0.015900,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,Radial Velocity,0,0.113390,,,0.002300,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,Radial Velocity,0,0.113400,255.40000,,0.000000,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc c,Radial Velocity,0,0.237350,,,0.072000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,Radial Velocity,0,0.237300,51.20000,,0.030000,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc c,Radial Velocity,0,0.243200,54.34866,,0.048000,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc c,Radial Velocity,0,0.240000,68.96911,,0.440000,,,0.95,,,,,
55 Cnc c,Radial Velocity,0,0.237000,52.44000,,0.070000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,Radial Velocity,0,0.238000,52.44000,,0.053000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,Radial Velocity,0,0.240000,53.71100,,0.086000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,Radial Velocity,0,0.241376,,,0.020000,,,0.95,,,,,
55 Cnc d,Radial Velocity,0,5.257000,1243.35096,,0.327000,,,0.95,,,,,
55 Cnc d,Radial Velocity,0,5.446000,,,0.026900,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,Radial Velocity,0,5.280000,918.49000,,0.240000,,,,,,,,
55 Cnc d,Radial Velocity,0,5.957000,991.60000,,0.130000,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc d,Radial Velocity,0,5.840000,1220.42000,,0.063000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,Radial Velocity,0,5.900000,1287.21150,,0.160000,,,0.95,0.270,,,5.500,
55 Cnc d,Radial Velocity,0,5.540000,908.98924,,0.139000,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc d,Radial Velocity,0,5.470000,1121.89000,,0.020000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,Radial Velocity,0,5.770000,1218.82700,,0.025000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,Radial Velocity,0,5.503000,,,0.019000,,,0.95,,,,,
55 Cnc e,Radial Velocity,0,0.015440,,6.40000,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,Radial Velocity,0,0.015830,,4.50000,0.000000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,Radial Velocity,0,,,,,,,,,,,,
55 Cnc e,Radial Velocity,0,0.015830,9.37594,,0.036000,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc e,Radial Velocity,0,0.015691,,,0.040000,,,0.95,,,,,
55 Cnc e,Radial Velocity,0,0.038000,14.30235,,0.174000,,,0.95,,,,,
55 Cnc e,Radial Velocity,0,0.015440,,6.30000,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,Radial Velocity,0,0.015439,,,0.028000,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,Radial Velocity,0,,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
