rowid,plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
495,WASP-18 b,3.6000,,0.297300,0.007000,-0.007000,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
496,WASP-18 b,4.5000,,0.385800,0.011300,-0.011300,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
497,WASP-18 b,5.8000,,0.370000,0.030000,-0.030000,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
498,WASP-18 b,8.0000,,0.410000,0.020000,-0.020000,0,,,,,<a refstr=SHEPPARD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...850L..32S/abstract target=ref>Sheppard et al. 2017</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
499,Qatar-1 b,3.6000,,0.149000,0.051000,-0.051000,0,,,,,<a refstr=GARHART_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A..55G/abstract target=ref>Garhart et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
500,Qatar-1 b,4.5000,,0.273000,0.049000,-0.049000,0,,,,,<a refstr=GARHART_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A..55G/abstract target=ref>Garhart et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
501,HAT-P-13 b,3.6000,,0.080100,0.008100,-0.008100,0,1732,75,-75,0,<a refstr=HARDY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...836..143H/abstract target=ref>Hardy et al. 2017</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
502,HAT-P-13 b,4.5000,,0.088000,0.028000,-0.028000,0,1573,93,-93,0,<a refstr=HARDY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...836..143H/abstract target=ref>Hardy et al. 2017</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
503,KELT-2 A b,3.6000,,0.057200,0.004500,-0.004600,0,,,,,<a refstr=PISKORZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..133P/abstract target=ref>Piskorz et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
504,KELT-2 A b,4.5000,,0.061600,0.004400,-0.004500,0,,,,,<a refstr=PISKORZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..133P/abstract target=ref>Piskorz et al. 2018</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
505,HAT-P-32 b,1.1420,0.0380,0.034400,0.010000,-0.010300,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
506,HAT-P-32 b,1.1790,0.0370,0.030500,0.012700,-0.012500,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
507,HAT-P-32 b,1.2160,0.0370,0.044800,0.009500,-0.010300,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
508,HAT-P-32 b,1.2540,0.0370,0.024400,0.008100,-0.008300,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
509,HAT-P-32 b,1.2900,0.0370,0.024800,0.011000,-0.011500,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
510,HAT-P-32 b,1.3280,0.0380,0.050200,0.008700,-0.008700,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
511,HAT-P-32 b,1.3650,0.0370,0.061100,0.011800,-0.011900,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
512,HAT-P-32 b,1.4020,0.0370,0.057000,0.008600,-0.008700,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
513,HAT-P-32 b,1.4400,0.0370,0.047300,0.010100,-0.009800,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
514,HAT-P-32 b,1.4770,0.0370,0.037700,0.009600,-0.009400,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
515,HAT-P-32 b,1.5140,0.0380,0.056400,0.009500,-0.009700,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
516,HAT-P-32 b,1.5510,0.0370,0.046400,0.010900,-0.011300,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
517,HAT-P-32 b,1.5890,0.0370,0.066400,0.011300,-0.011100,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
518,HAT-P-32 b,1.6250,0.0370,0.059200,0.013400,-0.012600,0,,,,,<a refstr=NIKOLOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.1705N/abstract target=ref>Nikolov et al. 2018</a>,Hubble Space Telescope satellite,Wide Field Camera 3
519,WASP-121 b,3.6000,,0.367000,0.013000,-0.013000,0,,,,,<a refstr=EVANS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.548...58E/abstract target=ref>Evans et al. 2017</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
520,GJ 3470 b,3.6000,0.7500,0.011500,0.002700,0.002600,0,,,,,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..813B/abstract target=ref>Benneke et al. 2019</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
521,GJ 3470 b,4.5000,1.0000,0.000300,0.002200,0.002200,0,,,,,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..813B/abstract target=ref>Benneke et al. 2019</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
522,WASP-76 b,1.1262,0.0219,0.060700,0.003900,-0.003900,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
523,WASP-76 b,1.1478,0.0211,0.071100,0.004000,-0.004000,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
524,WASP-76 b,1.1686,0.0206,0.073600,0.004300,-0.004300,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
525,WASP-76 b,1.1888,0.0198,0.059700,0.004800,-0.004800,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
526,WASP-76 b,1.2084,0.0193,0.077200,0.005300,-0.005300,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
527,WASP-76 b,1.2275,0.0190,0.054400,0.004100,-0.004100,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
528,WASP-76 b,1.2465,0.0189,0.063300,0.005000,-0.005000,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
529,WASP-76 b,1.2655,0.0192,0.069200,0.004200,-0.004200,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
530,WASP-76 b,1.2848,0.0193,0.074200,0.004700,-0.004700,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
531,WASP-76 b,1.3038,0.0188,0.077000,0.005300,-0.005300,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
532,WASP-76 b,1.3226,0.0188,0.083600,0.005200,-0.005200,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
533,WASP-76 b,1.3415,0.0189,0.087000,0.005000,-0.005000,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
534,WASP-76 b,1.3605,0.0192,0.097600,0.005200,-0.005200,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
535,WASP-76 b,1.3800,0.0199,0.090300,0.004400,-0.004400,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
536,WASP-76 b,1.4000,0.0200,0.088200,0.004800,-0.004800,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
537,WASP-76 b,1.4202,0.0203,0.095500,0.005100,-0.005100,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
538,WASP-76 b,1.4406,0.0206,0.098800,0.004800,-0.004800,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
539,WASP-76 b,1.4615,0.0212,0.113900,0.004500,-0.004500,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
540,WASP-76 b,1.4831,0.0220,0.116000,0.004400,-0.004400,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
541,WASP-76 b,1.5053,0.0224,0.103500,0.005100,-0.005100,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
542,WASP-76 b,1.5280,0.0230,0.106700,0.004500,-0.004500,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
543,WASP-76 b,1.5515,0.0241,0.103800,0.004800,-0.004800,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
544,WASP-76 b,1.5762,0.0253,0.113800,0.005300,-0.005300,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
545,WASP-76 b,1.6021,0.0264,0.106700,0.005600,-0.005600,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
546,WASP-76 b,1.6295,0.0283,0.103100,0.005400,-0.005400,0,,,,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
547,WASP-121 b,1.1290,0.0180,0.090300,0.005300,-0.005200,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
548,WASP-121 b,1.1470,0.0190,0.099100,0.005900,-0.006000,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
549,WASP-121 b,1.1660,0.0180,0.100200,0.005800,-0.005600,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
550,WASP-121 b,1.1840,0.0190,0.102900,0.005000,-0.004900,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
551,WASP-121 b,1.2030,0.0180,0.106600,0.005800,-0.005800,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
552,WASP-121 b,1.2220,0.0190,0.098300,0.005400,-0.005700,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
553,WASP-121 b,1.2400,0.0180,0.103100,0.004800,-0.005100,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
554,WASP-121 b,1.2590,0.0190,0.101500,0.005500,-0.005000,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
555,WASP-121 b,1.2770,0.0180,0.099400,0.004900,-0.004800,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
556,WASP-121 b,1.2960,0.0190,0.102800,0.005500,-0.005300,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
557,WASP-121 b,1.3140,0.0180,0.100800,0.005500,-0.006000,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
558,WASP-121 b,1.3330,0.0190,0.107700,0.005500,-0.005600,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
559,WASP-121 b,1.3510,0.0180,0.116000,0.005100,-0.005200,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
560,WASP-121 b,1.3690,0.0190,0.111000,0.006100,-0.005700,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
561,WASP-121 b,1.3880,0.0180,0.126200,0.005700,-0.005900,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
562,WASP-121 b,1.4060,0.0190,0.136000,0.005700,-0.005600,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
563,WASP-121 b,1.4250,0.0180,0.119300,0.005400,-0.005600,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
564,WASP-121 b,1.4440,0.0190,0.130400,0.005100,-0.005400,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
565,WASP-121 b,1.4620,0.0180,0.133100,0.005800,-0.006300,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
566,WASP-121 b,1.4810,0.0190,0.134200,0.005700,-0.005700,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
567,WASP-121 b,1.4990,0.0180,0.130400,0.006200,-0.006000,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
568,WASP-121 b,1.5180,0.0190,0.127600,0.006200,-0.006200,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
569,WASP-121 b,1.5360,0.0180,0.121000,0.006600,-0.006500,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
570,WASP-121 b,1.5540,0.0190,0.130700,0.006200,-0.006000,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
571,WASP-121 b,1.5730,0.0180,0.138800,0.006300,-0.006600,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
572,WASP-121 b,1.5910,0.0190,0.129900,0.006900,-0.006900,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
573,WASP-121 b,1.6100,0.0180,0.127000,0.006400,-0.006300,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
574,WASP-121 b,1.6280,0.0190,0.128600,0.006800,-0.006800,0,,,,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
