rowid,plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
430,KOI-13 b,1.2480,,0.072800,0.006600,-0.006600,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
431,KOI-13 b,1.2830,,0.079800,0.006600,-0.006600,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
432,KOI-13 b,1.3180,,0.083800,0.007000,-0.007000,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
433,KOI-13 b,1.3520,,0.068400,0.006700,-0.006700,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
434,KOI-13 b,1.3880,,0.064000,0.006600,-0.006600,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
435,KOI-13 b,1.4220,,0.076700,0.007100,-0.007100,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
436,KOI-13 b,1.4580,,0.068400,0.007800,-0.007800,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
437,KOI-13 b,1.4930,,0.075500,0.007200,-0.007200,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
438,KOI-13 b,1.5280,,0.068800,0.007500,-0.007500,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
439,KOI-13 b,1.5620,,0.085000,0.007100,-0.007100,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
440,KOI-13 b,1.5980,,0.099400,0.007800,-0.007800,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
441,KOI-13 b,1.6320,,0.109400,0.007800,-0.007800,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..158B/abstract target=ref>Beatty et al. 2017</a>,Hubble Space Telescope satellite,Wide Field Camera 3
442,KELT-1 b,1.5700,0.0400,0.128500,0.013100,-0.013100,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..242B/abstract target=ref>Beatty et al. 2017</a>,LBT Consortium Large Binocular Telescope (LBT) at Mount Graham International Observatory,LUCI1
443,KELT-1 b,1.6100,0.0400,0.146100,0.012800,-0.012800,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..242B/abstract target=ref>Beatty et al. 2017</a>,LBT Consortium Large Binocular Telescope (LBT) at Mount Graham International Observatory,LUCI1
444,KELT-1 b,1.6500,0.0400,0.158700,0.013000,-0.013000,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..242B/abstract target=ref>Beatty et al. 2017</a>,LBT Consortium Large Binocular Telescope (LBT) at Mount Graham International Observatory,LUCI1
445,KELT-1 b,1.6900,0.0400,0.153200,0.013700,-0.013700,0,,,,,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..242B/abstract target=ref>Beatty et al. 2017</a>,LBT Consortium Large Binocular Telescope (LBT) at Mount Graham International Observatory,LUCI1
